
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: -17.63701220 at   1, R1p 9.61931900, R2p 9.50101688, R1c 0.66748890, R2c 0.67207829, C1c 0.32633742, C2c 0.35307257, Rov = 19.79974587, ||Pc|| 14.87772548, ||Pk|| 65.12226607
opt value: -17.79040109 at   2, R1p 9.61956443, R2p 9.50122048, R1c 0.67088706, R2c 0.66885767, C1c 0.32031762, C2c 0.34943811, Rov = 19.79054064, ||Pc|| 14.86640950, ||Pk|| 65.13355534
opt value: -17.79068335 at   3, R1p 9.61959954, R2p 9.50120494, R1c 0.66945972, R2c 0.67035808, C1c 0.32029884, C2c 0.34958774, Rov = 19.79069106, ||Pc|| 14.86597019, ||Pk|| 65.13399713
opt value: -17.79071381 at   4, R1p 9.61963245, R2p 9.50119094, R1c 0.67009514, R2c 0.66969747, C1c 0.32034490, C2c 0.34955302, Rov = 19.79072131, ||Pc|| 14.86554292, ||Pk|| 65.13442388
opt value: -17.79071727 at   5, R1p 9.61966598, R2p 9.50117628, R1c 0.66979014, R2c 0.66996620, C1c 0.32032651, C2c 0.34955601, Rov = 19.79072477, ||Pc|| 14.86511676, ||Pk|| 65.13485036
opt value: -17.79071765 at   6, R1p 9.61969897, R2p 9.50116202, R1c 0.66989844, R2c 0.66982052, C1c 0.32032990, C2c 0.34953422, Rov = 19.79072511, ||Pc|| 14.86469301, ||Pk|| 65.13527402
TimeElapsed = 1.55507120

##########  PS  ##########

Initial Conditions: R1p 9.61969897, R2p 9.50116202, R1c 0.66989844, R2c 0.66982052, Rov = 19.79068152
opt value: 1476.60439754 at   1, PS gt1    0, R1p 9.61971540, R2p 9.50116520, R1c 0.66995490, R2c 0.66986413, Rov = 19.79074472
opt value: 1509.38353405 at   2, PS gt1    0, R1p 9.61971512, R2p 9.50116625, R1c 0.66995573, R2c 0.66986456, Rov = 19.79074592
opt value: 1509.36493635 at   3, PS gt1    0, R1p 9.61971480, R2p 9.50116733, R1c 0.66995648, R2c 0.66986492, Rov = 19.79074705
opt value: 1509.39527579 at   4, PS gt1    0, R1p 9.61971447, R2p 9.50116837, R1c 0.66995698, R2c 0.66986512, Rov = 19.79074796
opt value: 1509.38511127 at   5, PS gt1    0, R1p 9.61971414, R2p 9.50116941, R1c 0.66995747, R2c 0.66986529, Rov = 19.79074884
opt value: 1509.38909925 at   6, PS gt1    0, R1p 9.61971380, R2p 9.50117043, R1c 0.66995791, R2c 0.66986543, Rov = 19.79074966
opt value: 1509.37294015 at   7, PS gt1    0, R1p 9.61971346, R2p 9.50117148, R1c 0.66995840, R2c 0.66986561, Rov = 19.79075055
opt value: 1509.38298726 at   8, PS gt1    0, R1p 9.61971311, R2p 9.50117253, R1c 0.66995888, R2c 0.66986577, Rov = 19.79075141
opt value: 1509.40203625 at   9, PS gt1    0, R1p 9.61971278, R2p 9.50117354, R1c 0.66995926, R2c 0.66986587, Rov = 19.79075219
opt value: 1509.37814836 at  10, PS gt1    0, R1p 9.61971243, R2p 9.50117456, R1c 0.66995967, R2c 0.66986599, Rov = 19.79075299
opt value: 1509.39075968 at  11, PS gt1    0, R1p 9.61971210, R2p 9.50117557, R1c 0.66996005, R2c 0.66986608, Rov = 19.79075375
opt value: 1509.37053428 at  12, PS gt1    0, R1p 9.61971174, R2p 9.50117662, R1c 0.66996050, R2c 0.66986622, Rov = 19.79075459
opt value: 1509.39636395 at  13, PS gt1    0, R1p 9.61971140, R2p 9.50117763, R1c 0.66996089, R2c 0.66986633, Rov = 19.79075537
opt value: 1509.37716190 at  14, PS gt1    0, R1p 9.61971105, R2p 9.50117867, R1c 0.66996133, R2c 0.66986646, Rov = 19.79075619
opt value: 1509.39778661 at  15, PS gt1    0, R1p 9.61971071, R2p 9.50117969, R1c 0.66996171, R2c 0.66986656, Rov = 19.79075696
opt value: 1509.39320921 at  16, PS gt1    0, R1p 9.61971037, R2p 9.50118069, R1c 0.66996206, R2c 0.66986664, Rov = 19.79075770
opt value: 1509.37771019 at  17, PS gt1    0, R1p 9.61971003, R2p 9.50118170, R1c 0.66996246, R2c 0.66986675, Rov = 19.79075848
opt value: 1509.39645845 at  18, PS gt1    0, R1p 9.61970969, R2p 9.50118270, R1c 0.66996281, R2c 0.66986683, Rov = 19.79075922
opt value: 1509.39513854 at  19, PS gt1    0, R1p 9.61970935, R2p 9.50118368, R1c 0.66996314, R2c 0.66986689, Rov = 19.79075993
opt value: 1509.37077253 at  20, PS gt1    0, R1p 9.61970900, R2p 9.50118470, R1c 0.66996354, R2c 0.66986700, Rov = 19.79076071
opt value: 1509.40028486 at  21, PS gt1    0, R1p 9.61970867, R2p 9.50118570, R1c 0.66996390, R2c 0.66986709, Rov = 19.79076146
opt value: 1509.38576705 at  22, PS gt1    0, R1p 9.61970832, R2p 9.50118671, R1c 0.66996428, R2c 0.66986719, Rov = 19.79076222
opt value: 1509.34969199 at  23, PS gt1    0, R1p 9.61970792, R2p 9.50118783, R1c 0.66996478, R2c 0.66986735, Rov = 19.79076310
opt value: 1509.43561668 at  24, PS gt1    0, R1p 9.61970758, R2p 9.50118882, R1c 0.66996513, R2c 0.66986743, Rov = 19.79076383
