
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: -17.63701220 at   1, R1p 9.61931900, R2p 9.50101688, R1c 0.66748890, R2c 0.67207829, C1c 0.32633742, C2c 0.35307257, Rov = 19.79974587, ||Pc|| 14.87772548, ||Pk|| 65.12226607
opt value: -17.79040109 at   2, R1p 9.61956443, R2p 9.50122048, R1c 0.67088706, R2c 0.66885767, C1c 0.32031762, C2c 0.34943811, Rov = 19.79054064, ||Pc|| 14.86640950, ||Pk|| 65.13355534
opt value: -17.79068335 at   3, R1p 9.61959954, R2p 9.50120494, R1c 0.66945972, R2c 0.67035808, C1c 0.32029884, C2c 0.34958774, Rov = 19.79069106, ||Pc|| 14.86597019, ||Pk|| 65.13399713
opt value: -17.79071381 at   4, R1p 9.61963245, R2p 9.50119094, R1c 0.67009514, R2c 0.66969747, C1c 0.32034490, C2c 0.34955302, Rov = 19.79072131, ||Pc|| 14.86554292, ||Pk|| 65.13442388
opt value: -17.79071727 at   5, R1p 9.61966598, R2p 9.50117628, R1c 0.66979014, R2c 0.66996620, C1c 0.32032651, C2c 0.34955601, Rov = 19.79072477, ||Pc|| 14.86511676, ||Pk|| 65.13485036
opt value: -17.79071765 at   6, R1p 9.61969897, R2p 9.50116202, R1c 0.66989844, R2c 0.66982052, C1c 0.32032990, C2c 0.34953422, Rov = 19.79072511, ||Pc|| 14.86469301, ||Pk|| 65.13527402
TimeElapsed = 1.55074180

##########  PS  ##########

Initial Conditions: R1p 9.61969897, R2p 9.50116202, R1c 0.66989844, R2c 0.66982052, Rov = 19.79068152
opt value: 1506.11449673 at   1, PS gt1    0, R1p 9.61971249, R2p 9.50117370, R1c 0.66995698, R2c 0.66986413, Rov = 19.79075032
opt value: 1509.39094660 at   2, PS gt1    0, R1p 9.61970943, R2p 9.50118296, R1c 0.66995971, R2c 0.66986450, Rov = 19.79075690
opt value: 1509.39633205 at   3, PS gt1    0, R1p 9.61970637, R2p 9.50119213, R1c 0.66996224, R2c 0.66986475, Rov = 19.79076326
opt value: 1509.39967884 at   4, PS gt1    0, R1p 9.61970330, R2p 9.50120124, R1c 0.66996467, R2c 0.66986494, Rov = 19.79076948
opt value: 1509.40290092 at   5, PS gt1    0, R1p 9.61970023, R2p 9.50121026, R1c 0.66996703, R2c 0.66986508, Rov = 19.79077558
opt value: 1509.41178128 at   6, PS gt1    0, R1p 9.61969703, R2p 9.50121941, R1c 0.66996935, R2c 0.66986516, Rov = 19.79078160
opt value: 1509.40570427 at   7, PS gt1    0, R1p 9.61969400, R2p 9.50122825, R1c 0.66997160, R2c 0.66986527, Rov = 19.79078752
opt value: 1509.41140982 at   8, PS gt1    0, R1p 9.61969091, R2p 9.50123711, R1c 0.66997385, R2c 0.66986537, Rov = 19.79079339
opt value: 1509.41029554 at   9, PS gt1    0, R1p 9.61968773, R2p 9.50124607, R1c 0.66997612, R2c 0.66986545, Rov = 19.79079925
opt value: 1509.41254930 at  10, PS gt1    0, R1p 9.61968465, R2p 9.50125479, R1c 0.66997830, R2c 0.66986553, Rov = 19.79080496
opt value: 1509.42018226 at  11, PS gt1    0, R1p 9.61968154, R2p 9.50126350, R1c 0.66998048, R2c 0.66986560, Rov = 19.79081064
opt value: 1509.41642645 at  12, PS gt1    0, R1p 9.61967840, R2p 9.50127222, R1c 0.66998269, R2c 0.66986569, Rov = 19.79081631
opt value: 1509.42751020 at  13, PS gt1    0, R1p 9.61967530, R2p 9.50128081, R1c 0.66998484, R2c 0.66986577, Rov = 19.79082188
opt value: 1509.42681810 at  14, PS gt1    0, R1p 9.61967217, R2p 9.50128939, R1c 0.66998698, R2c 0.66986583, Rov = 19.79082739
opt value: 1509.42944610 at  15, PS gt1    0, R1p 9.61966902, R2p 9.50129794, R1c 0.66998909, R2c 0.66986588, Rov = 19.79083285
opt value: 1509.42975402 at  16, PS gt1    0, R1p 9.61966585, R2p 9.50130648, R1c 0.66999121, R2c 0.66986594, Rov = 19.79083826
opt value: 1509.43030534 at  17, PS gt1    0, R1p 9.61966266, R2p 9.50131499, R1c 0.66999334, R2c 0.66986600, Rov = 19.79084365
opt value: 1509.43999834 at  18, PS gt1    0, R1p 9.61965946, R2p 9.50132347, R1c 0.66999547, R2c 0.66986607, Rov = 19.79084900
opt value: 1509.44382689 at  19, PS gt1    0, R1p 9.61965627, R2p 9.50133189, R1c 0.66999757, R2c 0.66986614, Rov = 19.79085430
opt value: 1509.44483713 at  20, PS gt1    0, R1p 9.61965312, R2p 9.50134020, R1c 0.66999963, R2c 0.66986620, Rov = 19.79085951
opt value: 1509.44316284 at  21, PS gt1    0, R1p 9.61964995, R2p 9.50134848, R1c 0.67000168, R2c 0.66986625, Rov = 19.79086467
opt value: 1509.44472708 at  22, PS gt1    0, R1p 9.61964676, R2p 9.50135674, R1c 0.67000373, R2c 0.66986631, Rov = 19.79086980
opt value: 1509.45125623 at  23, PS gt1    0, R1p 9.61964361, R2p 9.50136488, R1c 0.67000574, R2c 0.66986636, Rov = 19.79087485
opt value: 1509.44950219 at  24, PS gt1    0, R1p 9.61964044, R2p 9.50137302, R1c 0.67000774, R2c 0.66986641, Rov = 19.79087987
