
##########  PS  ##########

Initial Conditions: R1p 3.58253329, R2p 3.59641193, R1c 0.22546933, R2c 0.48985456, Rov = 7.40441455
opt value: 22.05335863 at   1, PS gt1    0, R1p 3.58249804, R2p 3.59642443, R1c 0.22547120, R2c 0.48985443, Rov = 7.40439368
opt value: 22.07718488 at   2, PS gt1    0, R1p 3.58248017, R2p 3.59643094, R1c 0.22547215, R2c 0.48985437, Rov = 7.40438327
opt value: 21.93435920 at   3, PS gt1    0, R1p 3.58242089, R2p 3.59645188, R1c 0.22547530, R2c 0.48985415, Rov = 7.40434807
opt value: 22.17705086 at   4, PS gt1    0, R1p 3.58240558, R2p 3.59645757, R1c 0.22547611, R2c 0.48985410, Rov = 7.40433926
opt value: 22.03726919 at   5, PS gt1    0, R1p 3.58238617, R2p 3.59646468, R1c 0.22547714, R2c 0.48985402, Rov = 7.40432800
opt value: 22.09391608 at   6, PS gt1    0, R1p 3.58237284, R2p 3.59646970, R1c 0.22547784, R2c 0.48985397, Rov = 7.40432039
opt value: 22.12744730 at   7, PS gt1    0, R1p 3.58237475, R2p 3.59646936, R1c 0.22547774, R2c 0.48985398, Rov = 7.40432186
opt value: 21.76389761 at   8, PS gt1    0, R1p 3.58230244, R2p 3.59649501, R1c 0.22548158, R2c 0.48985372, Rov = 7.40427904
opt value: 22.36458191 at   9, PS gt1    0, R1p 3.58230467, R2p 3.59649458, R1c 0.22548146, R2c 0.48985372, Rov = 7.40428071
opt value: 22.00923202 at  10, PS gt1    0, R1p 3.58229507, R2p 3.59649832, R1c 0.22548197, R2c 0.48985368, Rov = 7.40427536
opt value: 22.04813258 at  11, PS gt1    0, R1p 3.58228214, R2p 3.59650325, R1c 0.22548265, R2c 0.48985363, Rov = 7.40426804
opt value: 22.09223157 at  12, PS gt1    0, R1p 3.58227650, R2p 3.59650562, R1c 0.22548295, R2c 0.48985361, Rov = 7.40426508
opt value: 22.07544023 at  13, PS gt1    0, R1p 3.58227171, R2p 3.59650770, R1c 0.22548321, R2c 0.48985359, Rov = 7.40426261
opt value: 22.13545413 at  14, PS gt1    0, R1p 3.58227407, R2p 3.59650721, R1c 0.22548308, R2c 0.48985359, Rov = 7.40426436
opt value: 22.05827632 at  15, PS gt1    0, R1p 3.58227475, R2p 3.59650734, R1c 0.22548305, R2c 0.48985359, Rov = 7.40426513
opt value: 22.06327053 at  16, PS gt1    0, R1p 3.58227411, R2p 3.59650792, R1c 0.22548308, R2c 0.48985359, Rov = 7.40426510
opt value: 22.09797124 at  17, PS gt1    0, R1p 3.58227646, R2p 3.59650743, R1c 0.22548295, R2c 0.48985359, Rov = 7.40426685
opt value: 22.00678389 at  18, PS gt1    0, R1p 3.58227131, R2p 3.59650964, R1c 0.22548323, R2c 0.48985357, Rov = 7.40426417
opt value: 22.04080354 at  19, PS gt1    0, R1p 3.58225878, R2p 3.59651444, R1c 0.22548389, R2c 0.48985352, Rov = 7.40425711
opt value: 22.16478110 at  20, PS gt1    0, R1p 3.58226162, R2p 3.59651382, R1c 0.22548374, R2c 0.48985352, Rov = 7.40425918
opt value: 22.02173608 at  21, PS gt1    0, R1p 3.58225873, R2p 3.59651524, R1c 0.22548389, R2c 0.48985351, Rov = 7.40425786
opt value: 22.11689019 at  22, PS gt1    0, R1p 3.58225987, R2p 3.59651518, R1c 0.22548383, R2c 0.48985351, Rov = 7.40425888
opt value: 22.01974217 at  23, PS gt1    0, R1p 3.58225330, R2p 3.59651788, R1c 0.22548418, R2c 0.48985348, Rov = 7.40425536
opt value: 22.08846877 at  24, PS gt1    0, R1p 3.58225166, R2p 3.59651885, R1c 0.22548427, R2c 0.48985347, Rov = 7.40425478
opt value: 22.07272725 at  25, PS gt1    0, R1p 3.58225019, R2p 3.59651977, R1c 0.22548434, R2c 0.48985346, Rov = 7.40425430
